Stock Name,Current Price,Previous Close,Open,Bid,Ask,Day Range,52 Week Range,Volume,Avg. Volume
Alphabet Inc. (GOOG),"2,261.97","2,239.08","2,261.09","2,256.00 x 800","2,261.28 x 800","2,242.72 - 2,276.60","1,323.91 - 2,452.38","1,268,297","1,473,432"
The Charles Schwab Corporation (SCHW),70.43,68.94,68.82,70.91 x 1200,70.92 x 900,68.82 - 71.01,31.63 - 72.54,"6,248,932","7,647,270"
